Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
80,tt5700672,2021-05-11,2021-05-11,,Busanhaeng,https://www.imdb.com/title/tt5700672/,movie,7.6,118,2016,"Action, Horror, Thriller",173849,2016-05-13,Sang-ho Yeon,,
81,tt1156398,2021-05-11,2021-05-11,,Zombieland,https://www.imdb.com/title/tt1156398/,movie,7.6,88,2009,"Adventure, Comedy, Fantasy, Horror, Sci-Fi",526808,2009-09-25,Ruben Fleischer,,
82,tt1560220,2021-05-11,2021-05-11,,Zombieland: Double Tap,https://www.imdb.com/title/tt1560220/,movie,6.7,99,2019,"Action, Adventure, Comedy, Horror",146305,2019-10-09,Ruben Fleischer,,
83,tt0963794,2021-05-11,2021-05-11,,The Ruins,https://www.imdb.com/title/tt0963794/,movie,5.9,90,2008,"Adventure, Fantasy, Horror, Mystery, Sci-Fi, Thriller",71239,2008-04-02,Carter Smith,,
84,tt0816711,2021-05-11,2021-05-11,,World War Z,https://www.imdb.com/title/tt0816711/,movie,7.0,116,2013,"Action, Adventure, Horror, Sci-Fi",610002,2013-06-02,Marc Forster,,
85,tt1790864,2021-05-11,2021-05-11,,The Maze Runner,https://www.imdb.com/title/tt1790864/,movie,6.8,113,2014,"Action, Mystery, Sci-Fi, Thriller",425546,2014-09-11,Wes Ball,,
86,tt4500922,2021-05-11,2021-05-11,,Maze Runner: The Death Cure,https://www.imdb.com/title/tt4500922/,movie,6.3,143,2018,"Action, Adventure, Sci-Fi, Thriller",118106,2018-01-17,Wes Ball,,
87,tt4500922,2021-05-11,2021-05-11,,Maze Runner: The Death Cure,https://www.imdb.com/title/tt4500922/,movie,6.3,143,2018,"Action, Adventure, Sci-Fi, Thriller",118106,2018-01-17,Wes Ball,,
88,tt0325980,2021-05-11,2021-05-11,,Pirates of the Caribbean: The Curse of the Black Pearl,https://www.imdb.com/title/tt0325980/,movie,8.0,143,2003,"Action, Adventure, Fantasy",1025383,2003-06-28,Gore Verbinski,,
89,tt0383574,2021-05-11,2021-05-11,,Pirates of the Caribbean: Dead Man's Chest,https://www.imdb.com/title/tt0383574/,movie,7.3,151,2006,"Action, Adventure, Fantasy",662937,2006-06-24,Gore Verbinski,,
90,tt0449088,2021-05-11,2021-05-11,,Pirates of the Caribbean: At World's End,https://www.imdb.com/title/tt0449088/,movie,7.1,169,2007,"Action, Adventure, Fantasy",602624,2007-05-19,Gore Verbinski,,
91,tt1298650,2021-05-11,2021-05-11,,Pirates of the Caribbean: On Stranger Tides,https://www.imdb.com/title/tt1298650/,movie,6.6,137,2011,"Action, Adventure, Fantasy",487422,2011-05-07,Rob Marshall,,
92,tt1790809,2021-05-11,2021-05-11,,Pirates of the Caribbean: Dead Men Tell No Tales,https://www.imdb.com/title/tt1790809/,movie,6.5,129,2017,"Action, Adventure, Fantasy",270539,2017-05-11,"Espen Sandberg, Joachim Rønning",,
93,tt0265086,2021-05-11,2021-05-11,,Black Hawk Down,https://www.imdb.com/title/tt0265086/,movie,7.7,144,2001,"Drama, History, War",368695,2001-12-18,Ridley Scott,,
94,tt0417148,2021-05-11,2021-05-11,,Snakes on a Plane,https://www.imdb.com/title/tt0417148/,movie,5.4,105,2006,"Action, Adventure, Crime, Thriller",133575,2006-08-17,David R. Ellis,,
95,tt0195714,2021-05-11,2021-05-11,,Final Destination,https://www.imdb.com/title/tt0195714/,movie,6.7,98,2000,"Horror, Thriller",232817,2000-03-16,James Wong,,
96,tt0309593,2021-05-11,2021-05-11,,Final Destination 2,https://www.imdb.com/title/tt0309593/,movie,6.2,90,2003,"Horror, Thriller",154154,2003-01-30,David R. Ellis,,
97,tt0414982,2021-05-11,2021-05-11,,Final Destination 3,https://www.imdb.com/title/tt0414982/,movie,5.8,93,2006,"Horror, Thriller",132396,2006-02-02,James Wong,,
98,tt1144884,2021-05-11,2021-05-11,,The Final Destination,https://www.imdb.com/title/tt1144884/,movie,5.2,82,2009,"Action, Horror, Thriller",98368,2009-08-26,David R. Ellis,,
99,tt1622979,2021-05-11,2021-05-11,,Final Destination 5,https://www.imdb.com/title/tt1622979/,movie,5.8,92,2011,"Action, Horror, Thriller",108169,2011-08-04,Steven Quale,,
100,tt0454841,2021-05-11,2021-05-11,,The Hills Have Eyes,https://www.imdb.com/title/tt0454841/,movie,6.4,107,2006,"Horror, Thriller",160463,2006-03-10,Alexandre Aja,,
101,tt0800069,2021-05-11,2021-05-11,,The Hills Have Eyes II,https://www.imdb.com/title/tt0800069/,movie,5.1,89,2007,"Horror, Thriller",61341,2007-03-16,Martin Weisz,,
102,tt2403021,2021-05-11,2021-05-11,,The Green Inferno,https://www.imdb.com/title/tt2403021/,movie,5.3,100,2013,"Adventure, Horror",39849,2013-09-08,Eli Roth,,
103,tt0417299,2021-05-11,2021-05-11,,Avatar: The Last Airbender,https://www.imdb.com/title/tt0417299/,tvSeries,9.2,23,2005,"Animation, Action, Adventure, Family, Fantasy, Mystery",256596,2005-02-21,,,
104,tt0133093,2021-05-11,2021-05-11,,The Matrix,https://www.imdb.com/title/tt0133093/,movie,8.7,136,1999,"Action, Sci-Fi",1707016,1999-03-24,"Lilly Wachowski, Lana Wachowski",,
105,tt0234215,2021-05-11,2021-05-11,,The Matrix Reloaded,https://www.imdb.com/title/tt0234215/,movie,7.2,138,2003,"Action, Sci-Fi",523417,2003-05-07,"Lilly Wachowski, Lana Wachowski",,
106,tt0242653,2021-05-11,2021-05-11,,The Matrix Revolutions,https://www.imdb.com/title/tt0242653/,movie,6.8,129,2003,"Action, Sci-Fi",454392,2003-10-27,"Lilly Wachowski, Lana Wachowski",,
107,tt10838180,2021-05-11,2021-05-11,,The Matrix 4,https://www.imdb.com/title/tt10838180/,movie,,,2021,"Action, Sci-Fi",,2021-12-15,Lana Wachowski,,
108,tt0468569,2021-05-11,2021-05-11,,The Dark Knight,https://www.imdb.com/title/tt0468569/,movie,9.0,152,2008,"Action, Crime, Drama, Thriller",2350383,2008-07-14,Christopher Nolan,,
